cat,change,change_persent,high,low,ltp,open,sn,trade,trade_code,value,volume,ycp
,,,,,,,,,,,,
,,,,,,,,,,,,
B,1.10,10.00%,12.10,10.80,12.10,11.00,2,"1,146",METROSPIN,63.059,"5,512,290",11.00
,,,,,,,,,,,,
A,3.00,9.93%,33.20,30.00,33.20,30.90,4,"2,339",NFML,422.859,"13,082,581",30.20
Z,1.70,9.77%,19.10,17.60,19.10,17.60,5,672,EMERALDOIL,22.140,"1,203,924",17.40
N,2.00,9.76%,22.50,20.70,22.50,20.70,6,"1,337",TAUFIKA,54.550,"2,481,677",20.50
A,2.90,9.73%,32.70,30.00,32.70,30.30,7,"2,098",GBBPOWER,242.765,"7,679,246",29.80
N,1.30,9.56%,14.90,14.90,14.90,14.90,8,"1,167",NRBCBANK,154.422,"10,363,922",13.60
B,1.30,9.56%,14.90,13.30,14.90,13.80,9,446,TOSRIFA,18.201,"1,276,968",13.60
Z,1.10,9.40%,12.80,11.70,12.80,11.70,10,101,BEACHHATCH,2.488,"200,706",11.70
Z,0.90,9.38%,10.50,9.60,10.50,9.60,11,537,DACCADYE,18.739,"1,807,225",9.60
A,1.70,9.34%,20.00,17.90,19.90,18.60,12,"1,216",MALEKSPIN,93.822,"4,861,713",18.20
A,0.90,9.28%,11.00,10.40,10.60,11.00,13,928,AIBL1STIMF,55.966,"5,280,737",9.70
A,0.90,9.18%,10.70,9.80,10.70,9.90,14,"1,213",KTL,52.579,"5,038,408",9.80
A,1.80,8.91%,22.10,20.30,22.00,20.30,15,"3,640",FORTUNE,233.835,"10,877,138",20.20
A,1.60,8.84%,19.90,18.20,19.70,18.50,16,"4,190",SSSTEEL,232.066,"12,090,413",18.10
B,0.50,8.62%,6.30,5.70,6.30,6.00,17,433,ZAHEENSPIN,11.897,"1,944,716",5.80
A,2.70,8.52%,34.50,32.30,34.40,32.80,18,263,UNIQUEHRL,6.286,"187,672",31.70
B,1.20,7.95%,16.40,15.10,16.30,15.10,19,"1,109",ACTIVEFINE,40.396,"2,514,956",15.10
,,,,,,,,,,,,
,,,,,,,,,,,,
B,0.50,6.67%,8.10,7.50,8.00,7.50,22,370,KBPPWBIL,4.784,"610,127",7.50
A,1.30,6.67%,21.40,19.50,20.80,20.50,23,233,SHASHADNIM,6.635,"319,363",19.50
A,1.50,6.44%,24.90,24.10,24.80,24.50,24,212,RUPALIBANK,2.444,"99,179",23.30
A,1.20,6.38%,20.40,18.70,20.00,18.80,25,604,PENINSULA,19.836,"1,011,491",18.80
B,1.70,6.18%,30.20,27.60,29.20,27.70,26,"1,440",MIRACLEIND,50.894,"1,738,308",27.50
A,0.80,5.93%,14.40,13.30,14.30,13.60,27,691,SAIHAMCOT,35.551,"2,571,333",13.50
A,1.00,5.92%,18.10,16.60,17.90,17.10,28,659,NEWLINE,50.213,"2,855,853",16.90
A,0.40,5.88%,7.40,6.80,7.20,7.00,29,234,ETL,4.484,"629,406",6.80
A,0.50,5.88%,9.20,8.70,9.00,9.00,30,175,ICBSONALI1,6.941,"768,730",8.50
A,1.20,5.85%,22.20,20.00,21.70,20.60,31,"2,528",SAIFPOWER,187.961,"8,874,442",20.50
